epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,123.401,1.22865,2.33769,1.22696,0.46003,0.48095,0.48264,0.35404,0.81738,0.94475,0.97723,0.000994286,0.000331429,0.000994286,0.000331429,0.000994286,0.000331429,0.000994286,0.000331429
2,217.928,0.80727,0.89364,0.91454,0.70461,0.59099,0.64074,0.4619,0.75301,0.74762,0.93515,0.0019548,0.0006516,0.0019548,0.0006516,0.0019548,0.0006516,0.0019548,0.0006516
3,314.801,0.77326,0.76646,0.90441,0.74119,0.65742,0.72958,0.53859,0.73164,0.6734,0.92523,0.00287571,0.000958571,0.00287571,0.000958571,0.00287571,0.000958571,0.00287571,0.000958571
4,411.87,0.75961,0.67368,0.89135,0.73403,0.66884,0.73052,0.536,0.73815,0.63859,0.91871,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,500.953,0.75386,0.62498,0.89396,0.75938,0.68183,0.73608,0.5535,0.73519,0.64485,0.92749,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,592.338,0.7399,0.58614,0.89065,0.71447,0.66519,0.70199,0.51585,0.74977,0.68742,0.94231,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,681.117,0.73438,0.57171,0.88975,0.7302,0.67615,0.75305,0.56298,0.74088,0.60992,0.94291,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,773.489,0.72621,0.54188,0.88751,0.70477,0.73628,0.76627,0.55782,0.72946,0.61262,0.92975,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,862.477,0.71599,0.51541,0.8746,0.70642,0.72343,0.75835,0.56452,0.73346,0.57788,0.93215,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,955.011,0.70369,0.50728,0.87745,0.82248,0.68628,0.77776,0.59002,0.70405,0.60187,0.90872,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,1051.36,0.69939,0.49252,0.87436,0.75144,0.69172,0.69989,0.52139,0.71418,0.63711,0.91565,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,1140.39,0.69332,0.48714,0.87417,0.79638,0.6918,0.75643,0.5676,0.71252,0.5823,0.90951,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,1229.37,0.68605,0.468,0.8697,0.77598,0.70192,0.78869,0.59818,0.70105,0.55351,0.92436,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,1321.01,0.67066,0.46051,0.86516,0.72254,0.73748,0.78666,0.61033,0.69854,0.55086,0.91668,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,1415.64,0.67929,0.45297,0.86508,0.7287,0.72279,0.79561,0.59082,0.70173,0.53625,0.91733,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,1502.76,0.6654,0.44304,0.8651,0.72165,0.75767,0.7911,0.61165,0.68715,0.54991,0.90646,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,1603.7,0.66841,0.43854,0.86076,0.79849,0.67748,0.78087,0.58763,0.69051,0.55242,0.91872,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,1693.22,0.65187,0.42884,0.85629,0.74054,0.73988,0.78575,0.59644,0.70014,0.56103,0.93148,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,1781.99,0.65451,0.41605,0.85584,0.78549,0.71538,0.79976,0.62015,0.67934,0.54337,0.92174,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,1878.76,0.6407,0.40909,0.85411,0.82259,0.75573,0.81774,0.61952,0.69855,0.55347,0.94098,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,1968.35,0.64517,0.40929,0.85063,0.75426,0.74601,0.79297,0.60324,0.69422,0.53813,0.93082,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,2059.32,0.63103,0.40019,0.85077,0.78111,0.76227,0.82394,0.63134,0.68687,0.5357,0.92351,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,2151.68,0.62625,0.39338,0.84938,0.79455,0.71876,0.79928,0.60591,0.69561,0.52177,0.94509,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,2239.67,0.62177,0.38925,0.84831,0.80204,0.73925,0.81786,0.62609,0.67762,0.53581,0.92582,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,2329.22,0.615,0.3852,0.84544,0.80073,0.68141,0.81279,0.62992,0.69334,0.52974,0.92724,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,2417.54,0.60828,0.38013,0.84149,0.74712,0.72582,0.81318,0.62798,0.68961,0.53141,0.93811,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
27,2505.9,0.60965,0.37296,0.83979,0.769,0.75106,0.81792,0.62018,0.69163,0.55603,0.93923,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
28,2593.76,0.60562,0.37125,0.84063,0.76672,0.77726,0.82511,0.62619,0.6965,0.54968,0.92302,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
