epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.0248,1.4045,3.84314,1.20667,0.01095,0.43701,0.15709,0.11029,0.9962,3.32568,0.99066,0.000988636,0.000329545,0.000988636,0.000329545,0.000988636,0.000329545,0.000988636,0.000329545
2,137.511,1.13914,2.33745,0.98506,0.91337,0.21479,0.25218,0.17707,0.93697,1.54458,0.9223,0.00194926,0.000649754,0.00194926,0.000649754,0.00194926,0.000649754,0.00194926,0.000649754
3,190.519,1.01717,1.61766,0.94089,0.45926,0.31472,0.32637,0.22085,0.85336,1.18153,0.88998,0.00287029,0.000956762,0.00287029,0.000956762,0.00287029,0.000956762,0.00287029,0.000956762
4,246.096,0.97321,1.34514,0.92203,0.5863,0.36663,0.403,0.27911,0.83082,1.06792,0.8723,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,294.854,0.93311,1.18618,0.9061,0.41852,0.54096,0.46022,0.3267,0.82677,1.00137,0.87005,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,343.822,0.90463,1.09454,0.90386,0.71927,0.44917,0.51435,0.37806,0.79009,0.96798,0.86209,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,393.162,0.89407,1.05971,0.89936,0.65384,0.51409,0.58469,0.42518,0.79203,0.94007,0.86717,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,440.261,0.87459,0.97903,0.89218,0.61734,0.55448,0.6084,0.43744,0.78358,0.85587,0.86302,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,489.67,0.86295,0.95333,0.8883,0.65593,0.54713,0.57691,0.42483,0.78418,0.79216,0.86151,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,537.276,0.85521,0.9336,0.88889,0.64332,0.58162,0.6359,0.46133,0.76553,0.77156,0.8592,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
